Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"10.00","Molecule Builders",1,6,2,9,,,,"Chemistry GIR;Physics I GIR",,"Project-based introduction to the applications of engineering design at the molecular level. Working in teams, students complete an open-ended design project that focuses on a topic such as reactor or biomolecular engineering, chemical process design, materials and polymers, or energy. Provides students practical exposure to the field of chemical engineering as well as potential opportunities to continue their project designs in national/international competitions. Limited to 36; preference to first year students.",,,,,,,Y,,,,
"10.01","Ethics for Engineers",2,0,4,6,,,,"",,"Integrates classical readings that provide an overview of ethics with a survey of case studies that focus on ethical problems arising in the practice of engineering. Readings taken from a variety of sources, such as Aristotle, Machiavelli, Bacon, Hobbes, Locke, the Founding Fathers, and the Bible. Case studies include written analyses and films that address engineering disasters, biotechnology, court cases, ethical codes, and the ultimate scope and aims of engineering. Students taking independent inquiry version 6.9041 expand the scope of their term project.",,"6.9041",,,Y,,Y,,,"B. Trout","Lecture,66-154/M/0/3-5,66-144/T/0/3-5,66-144/T/1/7.30-9.30 PM,66-154/W/0/3-5"
"10.02","Foundations of Entrepreneurship for Engineers",3,0,9,12,,,,"",,"Studies economic and leadership foundations of entrepreneurship as they relate to engineering. Case studies illustrate major impacts of engineering on the world and examine the leaders responsible for such impacts. Authors include Franklin, Keynes, Leonardo, Lincoln, Locke, Machiavelli, Marx, Schmidt, Schumpeter, Smith, Thiel, and Tocqueville. Discusses topics such as the difference between an entrepreneur and a manager, the entrepreneur as founder, and characteristics of principled entrepreneurship.",,,,,,,Y,,,,
"10.03","Advances in Biomanufacturing",,,,1,,,,"",,"Seminar examines how biopharmaceuticals, an increasingly important class of pharmaceuticals, are manufactured. Topics range from fundamental bioprocesses to new technologies to the economics of biomanufacturing. Also covers the impact of globalization on regulation and quality approaches as well as supply chain integrity. Students taking graduate version complete additional assignments.","7.458[J]","7.548[J],10.53[J]",,,,,Y,,,,
"10.04","A Philosophical History of Energy",3,0,9,12,,,,"",,"Philosophic and historical approach to conceptions of energy through the 19th century. Relation of long standing scientific and philosophic problems in the field of energy to 21st-century debates. Topics include the development of thermodynamics and kinetic theories, the foundation of the scientific project, the classical view of energy, and the harnessing of nature. Authors include Bacon, Boltzmann, Carnot, Compte, Descartes, Gibbs, Plato, Aristotle, Leibniz, Kant, Hegel, Mill, Peirce, Whitehead, and Maxwell. Key texts and controversies form topics of weekly writing assignments and term papers.",,,,,,,Y,,,,
"10.05","Foundational Analyses of Problems in Energy and the Environment",3,0,9,12,,,,"",,"Investigates key texts and papers on the foundational thought of current issues in energy and environmental science. Builds an understanding of key debates (scientific, ethical, and political). Aims to inform solutions to key problems related to procurement of energy and environmental degradation. Topics address alternative energy technologies and fossil fuel utilization and emissions, especially carbon dioxide, carbon dioxide sequestration, and geoengineering. Foundational readings from Homer and Greek playwrights, Aristotle, Genesis, Bacon, Locke, Rousseau, Coleridge, Carnot, Clausius, Marx, Heidegger, Carson, Gore, Singer, and Brundtland. Assignments include weekly analyses of readings, videos and related engineering calculations in addition to a final project. Limited to 18.",,,,,Y,,Y,,,"B. Trout","Lecture,66-168/M/0/2-5"
"10.06","Advanced Topics in Ethics for Engineers",2,0,4,6,,,,"10.01;10.05;permission of instructor",,"In-depth study of varying advanced topics in ethics for engineers. Focuses on foundational works and their significance for the choices that engineers make, both as students and as practicing engineers. Each semester, different works and topics, based on current and perennial issues in ethics and engineering, will be chosen in order to explore facets of the extremely complex and varied subject of the place of engineering for the individual and society. Examples of topics include genetic engineering and what it means to be human, artificial intelligence and thought, the scope and limits of engineering, and engineering and freedom. May be repeated for credit with permission of instructor. Limited to 20.",,,,,Y,,Y,,,"B. Trout","Lecture,66-156/W/0/3-5"
"10.10","Introduction to Chemical Engineering",4,0,8,12,,,,"Chemistry GIR;Physics I GIR;Calculus I GIR",,"The diverse applications of chemical engineering are explored through example problems. Solutions require application of fundamental concepts of mass and energy conservation to batch and continuous systems, involving chemical and biological processes. Computer skills and the elements of engineering design are taught in the context of these example problems. The objective is to acquaint the student with the field of chemical engineering and to enable use of computer methods to solve chemical and biological engineering problems.",,,,,Y,,Y,,,"K. Prather","Lecture,56-114/MWF/0/2;Recitation,66-168/T/0/12"
"10.213","Chemical and Biological Engineering Thermodynamics",4,0,8,12,,,,"5.60;10.10",,"Thermodynamics of multicomponent, multiphase chemical and biological systems. Applications of first, second, and third laws of thermodynamics to open and closed systems. Properties of mixtures, including colligative properties, chemical reaction equilibrium, and phase equilibrium; non-ideal solutions; power cycles; refrigeration; separation systems.",,,,,,,Y,,,,
"10.22","Molecular Engineering",3,0,9,12,,,,"5.60;10.213",,"Introduces molecular concepts in relation to engineering thermodynamics. Includes topics in statistical mechanics, molecular description of gases and liquids, property estimation, description of equilibrium and dynamic properties of fluids from molecular principles, and kinetics of activated processes. Also covers some basic aspects of molecular simulation and applications in systems of engineering interest.",,,,,,,Y,,,,
